Id,Label,name,Degree
n596,Roberto Sanchez,Roberto Sanchez,3
n597,A Martínez,A Martínez,12
n598,A Montraveta,A Montraveta,12
n599,A Moros,A Moros,12
n600,A Wiestner,A Wiestner,12
n601,D Colomer,D Colomer,12
n602,E Campo,E Campo,12
n603,E Normant,E Normant,12
n604,G Roué,G Roué,12
n605,I Saborit-Villarroya,I Saborit-Villarroya,12
n606,P Balsas,P Balsas,12
n607,P Pérez-Galán,P Pérez-Galán,12
n608,P Sandy,P Sandy,12
n609,Debra Wolgemuth,Debra Wolgemuth,4
n610,Francisco Juarez-Vicente,Francisco Juarez-Vicente,3
n611,Mario Garcia-Dominguez,Mario Garcia-Dominguez,3
n612,Jamel Meslamani,Jamel Meslamani,3
n613,Jennifer Lee,Jennifer Lee,2
n614,Dengshun Miao,Dengshun Miao,4
n615,Janice Panney,Janice Panney,4
n616,Linya You,Linya You,4
n617,Lulu Chen,Lulu Chen,4
n618,Karen Glass,Karen Glass,12
n619,Ashwin Shinde,Ashwin Shinde,11
